movie,movie_id,genres
Arthur,tt10720352,"Extreme Sport, Adventure, Drama, Sport"
An Officer and a Gentleman,tt0084434,"Feel-Good Romance, Drama, Romance"
Terms of Endearment,tt0086425,"Comedy, Drama"
The Killing Fields,tt0087553,"Biography, Drama, History, War"
Cocoon,tt0088933,"Comedy, Drama, Sci-Fi"
Hannah and Her Sisters,tt0091167,"Comedy, Drama"
The Untouchables,tt0094226,"Cop Drama, Gangster, Police Procedural, Crime, Drama, Thriller"
A Fish Called Wanda,tt0095159,"Caper, Dark Comedy, Screwball Comedy, Slapstick, Comedy, Crime"
Glory,tt0097441,"War Epic, Biography, Drama, History, War"
Good Fellas,tt0099685,"Gangster, True Crime, Biography, Crime, Drama"
City Slickers,tt0101587,"Buddy Comedy, Contemporary Western, High-Concept Comedy, Comedy, Western"
Unforgiven,tt0105695,"Tragedy, Drama, Western"
The Fugitive,tt0106977,"Conspiracy Thriller, Action, Crime, Drama, Mystery, Thriller"
Ed Wood,tt0109707,"Dark Comedy, Docudrama, Period Drama, Quirky Comedy, Showbiz Drama, Biography, Comedy, Drama"
The Usual Suspects,tt0114814,"Gangster, Heist, Psychological Drama, Psychological Thriller, Suspense Mystery, Whodunnit, Crime, Drama, Mystery, Thriller"
Jerry Maguire,tt0116695,"Feel-Good Romance, Football, Romantic Comedy, Workplace Drama, Comedy, Drama, Romance, Sport"
Good Will Hunting,tt0119217,"Coming-of-Age, Psychological Drama, Drama, Romance"
Affliction,tt0118564,"Drama, Mystery, Thriller"
The Cider House Rules,tt0124315,"Period Drama, Drama, Romance"
Traffic,tt0181865,"Cop Drama, Drug Crime, Crime, Drama, Thriller"
Adaptation,tt0268126,"Dark Comedy, High-Concept Comedy, Psychological Drama, Satire, Showbiz Drama, Comedy, Drama"
Mystic River,tt0327056,"Psychological Thriller, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Million Dollar Baby,tt0405159,"Boxing, Tragedy, Drama, Sport"
Syriana,tt0365737,"Political Thriller, Spy, Drama, Thriller"
Little Miss Sunshine,tt0449059,"Coming-of-Age, Quirky Comedy, Road Trip, Comedy, Drama"
No Country for Old Men,tt0477348,"Contemporary Western, Serial Killer, Crime, Drama, Thriller"
The Dark Knight,tt0468569,"Action Epic, Epic, Superhero, Action, Crime, Drama, Thriller"
Inglourious Basterds,tt0361748,"Adventure, Drama, War"
The Fighter,tt0964517,"Boxing, Action, Biography, Drama, Sport"
Beginning,tt0803096,"Dark Fantasy, Fantasy Epic, Action, Adventure, Fantasy"
Django Unchained,tt1853728,"Dark Comedy, Period Drama, Western Epic, Comedy, Drama, Western"
Dallas Buyers Club,tt0790636,"Docudrama, Medical Drama, Biography, Drama"
7th Heaven,tt0115083,"Coming-of-Age, Soap Opera, Teen Drama, Teen Romance, Comedy, Drama, Family, Romance"
Coquette,tt0019788,"Drama, Romance"
The Divorcee,tt0020827,"Drama, Romance"
Min and Bill,tt0021148,"Comedy, Drama"
The Sin of Madelon Claudet,tt0022386,"Crime, Drama, Romance"
Morning Glory,tt1126618,"Comedy, Drama, Romance"
It Happened One Night,tt0025316,"Road Trip, Comedy, Romance"
Dangerous,tt3876910,"Action, Thriller"
The Great Ziegfeld,tt0027698,"Classic Musical, Drama, Musical"
The Good Earth,tt0028944,"Drama, Romance"
Jezebel,tt0030287,"Drama, Romance"
Gone with the Wind,tt0031381,"Epic, Romantic Epic, Tragic Romance, War Epic, Drama, Romance, War"
Kitty Foyle,tt0032671,"Drama, Romance"
Suspicion,tt12026710,"Psychological Drama, Crime, Drama, Mystery, Thriller"
Mrs Miniver,tt0035093,"Drama, Romance, War"
The Song of Bernadette,tt0036377,"Biography, Drama, Mystery"
Gaslight,tt0036855,"Costume Drama, Dark Romance, Period Drama, Psychological Drama, Psychological Thriller, Suspense Mystery, Crime, Drama, Mystery, Romance"
Mildred Pierce,tt1492030,"Crime, Drama, Mystery"
To Each His Own,tt0039040,"Drama, Romance"
The Farmers Daughter,tt3763222,Horror
Johnny Belinda,tt0040495,Drama
The Heiress,tt0041452,"Coming-of-Age, Costume Drama, Dark Romance, Period Drama, Psychological Drama, Tragic Romance, Drama, Romance"
Born Yesterday,tt0042276,"Farce, Satire, Comedy, Drama, Romance"
A Streetcar Named Desire,tt0044081,"Tragedy, Drama"
Come Back Little Sheba,tt0044509,"Drama, Romance"
Roman Holiday,tt0046250,"Romantic Comedy, Comedy, Drama, Romance"
The Country Girl,tt0046874,"Drama, Music"
The Rose Tattoo,tt0048563,"Comedy, Drama, Romance"
Anastasia,tt0118617,"Hand-Drawn Animation, Adventure, Animation, Drama, Family, Fantasy, Musical, Mystery, Romance"
The Three Faces of Eve,tt0051077,"Drama, Mystery"
I Want To Live,tt0051758,"Film Noir, True Crime, Biography, Crime, Drama"
Room at the Top,tt0053226,"Psychological Drama, Tragic Romance, Drama, Romance"
Butterfield 8,tt0053622,"Tragedy, Drama, Romance"
Two Women,tt0054749,"Drama, War"
The Miracle Worker,tt0056241,"Period Drama, Biography, Drama"
Hud,tt0057163,"Contemporary Western, Drama, Western"
Mary Poppins,tt0058331,"Classic Musical, Comedy, Family, Fantasy, Musical"
Darling,tt22375054,"Dark Romance, Romance, Thriller"
Whos Afraid of Virginia Woolf,tt0061184,"Psychological Drama, Drama"
Guess Whos Coming to Dinner,tt0061735,"Comedy, Drama"
Funny Girl,tt0062994,"Classic Musical, Slapstick, Biography, Comedy, Drama, Musical, Romance"
The Lion in Winter,tt0063227,"Period Drama, Biography, Drama, History"
The Prime of Miss Jean Brodie,tt0064840,"Coming-of-Age, Period Drama, Teen Drama, Comedy, Drama, Romance"
Women in Love,tt0066579,"Dark Comedy, Period Drama, Drama, Romance"
Klute,tt0067309,"Psychological Thriller, Whodunnit, Crime, Mystery, Thriller"
Cabaret,tt0068327,"Drama, Music, Musical, Romance"
A Touch of Class,tt0070819,"Comedy, Romance"
Alice Doesnt Live Here Anymore,tt0071115,"Drama, Romance"
One Flew Over the Cuckoos Nest,tt0073486,"Medical Drama, Prison Drama, Psychological Drama, Drama"
Network,tt0074958,"Workplace Drama, Drama"
Annie Hall,tt0075686,"Comedy, Romance"
Coming Home,tt0077362,"Drama, Romance, War"
Norma Rae,tt0079638,"Workplace Drama, Drama"
Coal Miners Daughter,tt0080549,"Biography, Drama, Music"
On Golden Pond,tt0082846,Drama
Sophies Choice,tt0084707,"Drama, Romance"
Terms of Endearment,tt0086425,"Comedy, Drama"
Places in the Heart,tt0087921,Drama
The Trip to Bountiful,tt0090203,Drama
Children of a Lesser God,tt0090830,"Drama, Romance"
Moonstruck,tt0093565,"Romantic Comedy, Comedy, Drama, Romance"
The Accused,tt0094608,"Legal Drama, Crime, Drama"
Driving Miss Daisy,tt0097239,"Comedy, Drama"
Misery,tt0100157,"Psychological Drama, Psychological Thriller, Drama, Thriller"
The Silence of the Lambs,tt0102926,"Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Thriller"
Howards End,tt0104454,"Period Drama, Drama, Romance"
The Piano,tt0107822,"Period Drama, Steamy Romance, Drama, Music, Romance"
Blue Sky,tt0109306,"Drama, Romance"
Dead Man Walking,tt0112818,"True Crime, Crime, Drama"
Fargo,tt2802850,"Dark Comedy, Crime, Drama, Thriller"
As Good As It Gets,tt0119822,"Comedy, Drama, Romance"
Shakespeare in Love,tt0138097,"Period Drama, Tragic Romance, Comedy, Drama, History, Romance"
Boys Dont Cry,tt0171804,"Coming-of-Age, Docudrama, Tragedy, Tragic Romance, True Crime, Biography, Crime, Drama, Romance"
Erin Brockovich,tt0195685,"Docudrama, Legal Drama, Workplace Drama, Biography, Drama"
Monsters Ball,tt3109244,"Comedy, Drama, Family, Short"
The Hours,tt0274558,"Tragedy, Drama, Romance"
Monster,tt13207736,"Docudrama, Serial Killer, True Crime, Biography, Crime, Drama, Thriller"
Million Dollar Baby,tt0405159,"Boxing, Tragedy, Drama, Sport"
Walk the Line,tt0358273,"Biography, Drama, Music, Romance"
The Queen,tt14022350,"Costume Drama, Period Drama, Drama"
The Passionate Life of Edith Piaf,tt0031737,"Biography, Drama, War"
The Reader,tt0976051,"Steamy Romance, Drama, Mystery, Romance"
The Blind Side,tt0878804,"Football, Biography, Drama, Sport"
Black Swan,tt0947798,"Psychological Drama, Psychological Thriller, Drama, Thriller"
The Iron Lady,tt1007029,"Docudrama, Biography, Drama"
Silver Linings Playbook,tt1045658,"Psychological Drama, Comedy, Drama, Romance"
Blue Jasmine,tt2334873,"Psychological Drama, Tragedy, Comedy, Drama, Romance"
Anthony Adverse,tt0027300,"Adventure, Drama, Romance"
In Old Chicago,tt0029047,"Action, Drama, Musical, Romance"
Jezebel,tt0030287,"Drama, Romance"
Gone with the Wind,tt0031381,"Epic, Romantic Epic, Tragic Romance, War Epic, Drama, Romance, War"
The Grapes of Wrath,tt0032551,Drama
The Great Lie,tt0033677,Drama
Mrs Miniver,tt0035093,"Drama, Romance, War"
For Whom the Bell Tolls,tt0035896,"Adventure, Drama, History, Romance, War"
None but the Lonely Heart,tt0037135,"Drama, Romance"
National Velvet,tt0037120,"Drama, Family, Sport"
The Razors Edge,tt32360501,"Action, Thriller"
Gentlemans Agreement,tt0039416,"Drama, Romance"
Key Largo,tt0040506,"Film Noir, Action, Crime, Drama, Thriller"
All the Kings Men,tt6361244,Documentary
A Streetcar Named Desire,tt0044081,"Tragedy, Drama"
The Bad and the Beautiful,tt0044391,"Drama, Romance"
From Here to Eternity,tt0045793,"Drama, Romance, War"
On the Waterfront,tt0047296,"Crime, Drama, Thriller"
East of Eden,tt0048028,Drama
Written on the Wind,tt0049966,Drama
Sayonara,tt0050933,"Drama, Romance"
Separate Tables,tt0052182,"Drama, Romance"
The Diary of Anne Frank,tt0052738,"Docudrama, Biography, Drama, Family, History, War"
Elmer Gantry,tt0053793,Drama
West Side Story,tt3581652,"Pop Musical, Crime, Drama, Musical, Romance"
The Miracle Worker,tt0056241,"Period Drama, Biography, Drama"
the VIPs,tt0057634,Drama
Zorba the Greek,tt0057831,"Comedy, Drama"
A Patch of Blue,tt0059573,"Drama, Romance"
Whos Afraid of Virginia Woolf,tt0061184,"Psychological Drama, Drama"
Bonnie and Clyde,tt0061418,"Caper, Docudrama, Period Drama, Road Trip, Tragedy, True Crime, Action, Biography, Crime, Drama"
Rosemarys Baby,tt0063522,"Psychological Horror, Supernatural Horror, Drama, Horror"
Cactus Flower,tt0064117,"Comedy, Romance"
Airport,tt0065377,"Dark Comedy, Disaster, Action, Drama, Thriller"
The Last Picture Show,tt0067328,"Coming-of-Age, Teen Drama, Drama, Romance"
Butterflies Are Free,tt0068326,"Coming-of-Age, Romantic Comedy, Screwball Comedy, Comedy, Drama, Music, Romance"
Paper Moon,tt0070510,"Comedy, Crime, Drama"
Murder on the Orient Express,tt3402236,"Whodunnit, Crime, Drama, Mystery, Thriller"
Shampoo,tt0073692,"Satire, Comedy, Drama"
Network,tt0074958,"Workplace Drama, Drama"
California Suite,tt0077289,"Farce, Comedy, Drama, Romance"
Kramer vs Kramer,tt0079417,Drama
Melvin and Howard,tt0081150,"Comedy, Drama"
Reds,tt0082979,"Historical Epic, Romantic Epic, Biography, Drama, History, Romance"
Tootsie,tt0084805,"Farce, High-Concept Comedy, Comedy, Drama, Romance"
The Year of Living Dangerously,tt0086617,"Drama, Romance, War"
A Passage to India,tt0087892,"Historical Epic, Period Drama, Adventure, Drama, History"
Prizzis Honor,tt0089841,"Comedy, Crime, Drama, Romance"
Hannah and Her Sisters,tt0091167,"Comedy, Drama"
Moonstruck,tt0093565,"Romantic Comedy, Comedy, Drama, Romance"
The Accidental Tourist,tt0094606,"Comedy, Drama, Romance"
My Left Foot,tt0097937,"Biography, Drama"
Ghost,tt0099653,"Feel-Good Romance, Drama, Fantasy, Romance, Thriller"
The Fisher King,tt0101889,"Dark Comedy, Comedy, Drama, Fantasy"
My Cousin Vinny,tt0104952,"Legal Drama, Comedy, Crime"
The Piano,tt0107822,"Period Drama, Steamy Romance, Drama, Music, Romance"
Bullets Over Broadway,tt0109348,"Comedy, Crime"
Mighty Aphrodite,tt0113819,"Comedy, Fantasy, Romance"
The English Patient,tt0116209,"Desert Adventure, Period Drama, Romantic Epic, Steamy Romance, Tragedy, Tragic Romance, Drama, Romance, War"
LA Confidential,tt0119488,"Conspiracy Thriller, Cop Drama, Hard-boiled Detective, Police Procedural, Suspense Mystery, Whodunnit, Crime, Drama, Mystery, Thriller"
Shakespeare in Love,tt0138097,"Period Drama, Tragic Romance, Comedy, Drama, History, Romance"
Girl Interrupted,tt0172493,"Coming-of-Age, Docudrama, Medical Drama, Period Drama, Psychological Drama, Tragedy, Biography, Drama"
Pollock,tt0183659,"Biography, Drama"
A Beautiful Mind,tt0268978,"Docudrama, Period Drama, Psychological Drama, Biography, Drama, Mystery"
Chicago,tt2261391,"Disaster, Workplace Drama, Action, Drama"
Cold Mountain,tt0159365,"Period Drama, Tragic Romance, War Epic, Adventure, Drama, Romance, War"
The Aviator,tt0338751,"Docudrama, Biography, Drama"
The Constant Gardener,tt0387131,"Conspiracy Thriller, Political Thriller, Drama, Mystery, Romance, Thriller"
Dreamgirls,tt0443489,"Drama, Music, Musical"
Michael Clayton,tt0465538,"Legal Thriller, Crime, Drama, Mystery, Thriller"
Vicky Cristina Barcelona,tt0497465,"Comedy, Drama, Romance"
Precious,tt0929632,"Coming-of-Age, Drama"
The Fighter,tt0964517,"Boxing, Action, Biography, Drama, Sport"
The Help,tt1454029,"Period Drama, Drama"
Les MisÌrables,tt1707386,"Epic, Period Drama, Drama, Musical, Romance"
12 Years a Slave,tt2024544,"Epic, Biography, Drama, History"
The Apartment,tt0053604,"Holiday Comedy, Holiday Romance, Romantic Comedy, Comedy, Drama, Holiday, Romance"
Kitty Foyle,tt0032671,"Drama, Romance"
Philadelphia,tt0472954,"Dark Comedy, Satire, Sitcom, Comedy"
The Deer Hunter,tt0077416,"Tragedy, War Epic, Drama, War"
The Great Lie,tt0033677,Drama
Girl Interrupted,tt0172493,"Coming-of-Age, Docudrama, Medical Drama, Period Drama, Psychological Drama, Tragedy, Biography, Drama"
Shampoo,tt0073692,"Satire, Comedy, Drama"
National Velvet,tt0037120,"Drama, Family, Sport"
Network,tt0074958,"Workplace Drama, Drama"
Johnny Eager,tt0033774,"Film Noir, Crime, Mystery, Thriller"
The Three Faces of Eve,tt0051077,"Drama, Mystery"
High Noon,tt0044706,"Classical Western, Drama, Thriller, Western"
Whos Afraid of Virginia Woolf,tt0061184,"Psychological Drama, Drama"
Million Dollar Baby,tt0405159,"Boxing, Tragedy, Drama, Sport"
Million Dollar Baby,tt0405159,"Boxing, Tragedy, Drama, Sport"
Shakespeare in Love,tt0138097,"Period Drama, Tragic Romance, Comedy, Drama, History, Romance"
The Subject Was Roses,tt0063654,Drama
Precious,tt0929632,"Coming-of-Age, Drama"
Pollock,tt0183659,"Biography, Drama"
The Prime of Miss Jean Brodie,tt0064840,"Coming-of-Age, Period Drama, Teen Drama, Comedy, Drama, Romance"
The Constant Gardener,tt0387131,"Conspiracy Thriller, Political Thriller, Drama, Mystery, Romance, Thriller"
Slumdog Millionaire,tt1010048,"Crime, Drama, Romance"
All the Presidents Men,tt32142111,Documentary
Affliction,tt0118564,"Drama, Mystery, Thriller"
The Treasure of the Sierra Madre,tt0040897,"Adventure, Drama, Western"
